identifiant;nom;nombre Velos Disponibles;nombre Places Disponibles;adresse;commune;etat;etatConnexion;type;geo
221;221 Roubaix Mairie (CB);3;27;FACE AU 1, CONTOUR  SAINT MARTIN;ROUBAIX;EN SERVICE;CONNECTEE;AVEC TPE;50.69184, 3.173925
224;224 Centre Nautique (CB);6;7;26, RUE DE L'EPEULE;ROUBAIX;EN SERVICE;CONNECTEE;AVEC TPE;50.691406, 3.162704
226;226 Charles de Gaulle (CB);3;13;72, RUE DE LILLE;ROUBAIX;EN SERVICE;CONNECTEE;AVEC TPE;50.68645, 3.170006
230;230 De la Vigne;7;4;181, BOULEVARD DE STRASBOURG;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.70076, 3.18407
233;233 Rue de Tourcoing;6;10;RUE DE TOURCOING (SUR LA PARKING GRDF);ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.702026, 3.172654
239;239 Bvrd de l Egalite;7;7;SECTEUR BVLD EGALITE;TOURCOING;EN SERVICE;CONNECTEE;SANS TPE;50.730278, 3.167521
245;245 Jardin Botanique (CB);9;9;126, RUE VERTE;TOURCOING;EN SERVICE;CONNECTEE;AVEC TPE;50.724686, 3.165703
258;258 Carliers (CB);7;5;135, CHAUSSÉE GALILÉE;TOURCOING;EN SERVICE;CONNECTEE;AVEC TPE;50.710735, 3.159881
261;261 Phalempins (CB);1;14;PHALEMPINS;TOURCOING;EN SERVICE;CONNECTEE;AVEC TPE;50.732277, 3.157656
262;262 Wattrelos Place (CB);7;11;2-10, D660;WATTRELOS;EN SERVICE;CONNECTEE;AVEC TPE;50.701187, 3.215011
29;29 St Sebastien (CB);20;0;40 RUE SAINT SEBASTIEN;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.647236, 3.059376
32;32 Place aux Bleuets;2;14;15 RUE DE COURTRAI;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.64142, 3.067873
35;35 Leclerc (CB);18;0;24 PLACE MARECHAL LECLERC;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.62899, 3.043307
43;43 Theatre Sebastopol (CB);11;13;3 PLACE SEBASTOPOL;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.629044, 3.058288
52;52 Place Colette Besson;21;0;FACE AU 37 RUE DE WAZEMMES;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.62276, 3.063799
